RMSE7030Nas,MSE7030Nas,MAE7030Nas,RMSE8020,MSE8020,MAE8020
78.39955944,6491.078797,23.76241582,66.36184541,4761.283313,20.43270548
73.42543098,5807.440813,22.94239259,68.39214149,5040.733516,20.8404147
76.56281581,6250.113727,23.24768663,66.58156729,4762.148817,20.93515368
80.05103205,6875.212148,23.87263835,67.0597728,4765.150534,20.87438296
74.65397032,5815.344861,23.20267605,68.41550575,5060.493883,21.66050342
76.70212205,6248.072404,23.15833696,66.03644831,4631.810939,20.86079317
80.33517668,6918.890842,23.95576571,67.26580285,4898.277014,21.13563299
74.99161713,5926.591382,23.1140502,65.67877504,4627.443315,20.63025175
74.88313879,6134.532482,23.16234135,63.81610487,4417.535173,20.32594114
74.31020421,5831.228498,22.78919828,65.61766119,4609.225329,20.70137679
77.18892242,6465.914093,23.07103456,64.18844798,4347.096128,20.47638187
73.11988735,5579.404037,22.56253007,65.29188167,4611.92187,20.37521119
80.09910309,6893.125981,23.75959342,64.27637985,4379.18487,20.25901407
74.01506782,5851.882314,23.05289412,68.48769729,5274.60238,21.07518757
75.77663155,6081.932558,23.31454907,66.10725361,4757.035901,20.42025963
79.12119595,6879.540187,23.69127056,68.40533541,5073.726219,20.82482464
77.20363985,6374.659459,23.78444018,66.58418074,4763.337027,20.87443992
74.7355899,5907.244176,23.10184842,68.75219134,5075.636314,21.25945024
76.97821009,6275.705165,23.55813258,66.48909333,4828.615635,20.86951746
78.66874648,6597.109615,23.64748393,67.10493532,4812.975373,21.04685846
81.80807307,7160.190134,24.09380706,67.93846119,4986.892825,20.96275463
74.08753106,5954.588511,22.89959898,67.90691263,5030.960092,21.15463991
73.3895837,5732.682864,22.69921853,66.39868783,4688.386725,20.68008218
77.74266961,6574.523309,23.46853737,66.88963382,4886.292572,20.95342634
75.35464336,6082.711601,23.30796781,66.82311687,4917.98131,20.60720042
74.85529577,5982.564742,23.11800785,65.62451725,4781.981429,20.44995949
76.50087025,6197.395005,23.33531334,67.74644724,4934.818389,20.78900976
76.06024771,6112.072367,23.1140645,69.77585218,5282.894711,21.64787736
77.60682064,6384.705787,23.49883738,67.82902585,4960.616885,20.91701413
75.37796945,6032.394291,22.98610053,66.94064244,4848.535615,21.02351026
